epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,3299.84,1.28747,0.82162,1.13614,0.60761,0.68813,0.67645,0.39938,1.22145,0.64435,0.94205,6.53354e-05,6.53354e-05,6.53354e-05
122,3325.43,1.30708,0.822,1.12985,0.61979,0.68929,0.67135,0.39544,1.20856,0.64757,0.93861,6.1582e-05,6.1582e-05,6.1582e-05
123,3351.57,1.27695,0.81007,1.12744,0.7848,0.58939,0.67033,0.39349,1.21416,0.64145,0.93945,5.794e-05,5.794e-05,5.794e-05
124,3377.66,1.29048,0.81519,1.13292,0.78039,0.59156,0.66618,0.39448,1.20784,0.64514,0.93567,5.4411e-05,5.4411e-05,5.4411e-05
125,3403.21,1.26951,0.79629,1.12315,0.70701,0.64055,0.66795,0.39626,1.20808,0.64518,0.9349,5.09967e-05,5.09967e-05,5.09967e-05
126,3428.95,1.27891,0.79766,1.12631,0.78379,0.59389,0.67809,0.40029,1.20469,0.65444,0.9348,4.76984e-05,4.76984e-05,4.76984e-05
127,3454.11,1.29146,0.79977,1.1289,0.78389,0.59728,0.66856,0.40079,1.19901,0.64683,0.93395,4.45176e-05,4.45176e-05,4.45176e-05
128,3479.66,1.29728,0.81431,1.13444,0.77306,0.59594,0.66819,0.40032,1.19937,0.64774,0.93252,4.14558e-05,4.14558e-05,4.14558e-05
129,3504.74,1.29724,0.81455,1.13152,0.78308,0.59534,0.67747,0.40437,1.19555,0.64875,0.93065,3.85142e-05,3.85142e-05,3.85142e-05
130,3530.54,1.26569,0.79477,1.11899,0.79224,0.5889,0.67326,0.40585,1.19649,0.65065,0.93044,3.56941e-05,3.56941e-05,3.56941e-05
131,3557.04,1.28263,0.8115,1.12497,0.61893,0.68623,0.67534,0.40595,1.19702,0.64924,0.93087,3.29969e-05,3.29969e-05,3.29969e-05
132,3583.08,1.25318,0.7921,1.12341,0.62075,0.70499,0.67431,0.40507,1.20087,0.64275,0.93308,3.04236e-05,3.04236e-05,3.04236e-05
133,3608.49,1.24135,0.78488,1.11784,0.59956,0.69614,0.67314,0.40643,1.19913,0.64127,0.93338,2.79754e-05,2.79754e-05,2.79754e-05
134,3634.41,1.26697,0.79691,1.11688,0.597,0.68751,0.67445,0.40658,1.19594,0.63685,0.93217,2.56534e-05,2.56534e-05,2.56534e-05
135,3660.38,1.2657,0.80272,1.12084,0.59106,0.70325,0.67768,0.40572,1.19764,0.63265,0.93296,2.34586e-05,2.34586e-05,2.34586e-05
136,3685.28,1.28022,0.80971,1.12708,0.58465,0.70337,0.67577,0.40647,1.19422,0.63369,0.9326,2.13919e-05,2.13919e-05,2.13919e-05
137,3710.37,1.27375,0.79584,1.12047,0.59852,0.70576,0.67562,0.40445,1.19029,0.63952,0.93014,1.94543e-05,1.94543e-05,1.94543e-05
138,3737.15,1.26346,0.79822,1.12159,0.59448,0.68788,0.67316,0.40478,1.18917,0.64121,0.92982,1.76466e-05,1.76466e-05,1.76466e-05
139,3761.91,1.2627,0.79066,1.12638,0.57869,0.69222,0.67406,0.40283,1.18845,0.63964,0.92998,1.59696e-05,1.59696e-05,1.59696e-05
140,3787.13,1.27111,0.78875,1.12242,0.59652,0.69116,0.67612,0.40416,1.18653,0.63838,0.92904,1.4424e-05,1.4424e-05,1.4424e-05
141,38.9849,1.35718,0.82217,1.14651,0.68309,0.64992,0.67004,0.40354,1.22323,0.77781,0.94258,1.30106e-05,1.30106e-05,1.30106e-05
142,59.0059,1.34168,0.79944,1.13806,0.70022,0.63929,0.66835,0.40317,1.22694,0.79677,0.94419,1.17299e-05,1.17299e-05,1.17299e-05
143,78.9349,1.32859,0.78301,1.13063,0.7128,0.63945,0.67229,0.40353,1.22167,0.78339,0.94083,1.05825e-05,1.05825e-05,1.05825e-05
144,99.7886,1.32381,0.7771,1.11855,0.72221,0.64038,0.67678,0.40692,1.21799,0.75895,0.93896,9.56887e-06,9.56887e-06,9.56887e-06
145,120.07,1.3114,0.77341,1.12589,0.71551,0.64338,0.6785,0.40857,1.21412,0.7328,0.93642,8.68951e-06,8.68951e-06,8.68951e-06
146,140.506,1.3234,0.76921,1.12273,0.72706,0.64476,0.67989,0.40833,1.21283,0.74322,0.93544,7.94479e-06,7.94479e-06,7.94479e-06
147,160.854,1.30782,0.76157,1.11386,0.73002,0.64416,0.68143,0.4103,1.20856,0.73507,0.93278,7.33502e-06,7.33502e-06,7.33502e-06
148,180.985,1.31366,0.76014,1.1182,0.74044,0.64239,0.68307,0.41078,1.20829,0.73016,0.93245,6.86048e-06,6.86048e-06,6.86048e-06
149,201.249,1.31647,0.7695,1.11966,0.74069,0.64365,0.68264,0.41116,1.20722,0.72201,0.93205,6.52137e-06,6.52137e-06,6.52137e-06
150,221.614,1.31292,0.76812,1.11307,0.74338,0.64503,0.68328,0.41141,1.20537,0.72124,0.93176,6.31785e-06,6.31785e-06,6.31785e-06
